,gdasCont,kor,kor_num,keyword,gdasScrVal,mbrNo,goodsNm
2714,단백질 함량 보고 놀란 마음과 행사하고 있길래 매장에 있는 갯수만큼 구매했어요 맛은 그냥 그래요,단백질 함량 보고 놀란 마음과 행사하고 있길래 매장에 있는 갯수만큼 구매했어요 맛은 그냥 그래요,7.0,단백질 구매 함량 마음 행사 매장 갯수,10.0,M0000010478238,칼로바이 퍼펙트 파워쉐이크 초코바나나맛 275 ml
2715,단백질함량이높아서 운동후나 간식으로 먹기 너무좋습니다  구매를 추천드립니다 ,단백질함량이높아서 운동후나 간식으로 먹기 너무좋습니다  구매를 추천드립니다 ,6.0,단백질 함량 추천 운동 구매 간식,10.0,M0000012573225,C02
2716,이거 너무 맛있어요 운동하고 먹으면 달달하고 좋네요 근데 단맛이 강한 편이라 살뺄때 도움이 될지는 모르겠음,이거 너무 맛있어요 운동하고 먹으면 달달하고 좋네요 근데 단맛이 강한 편이라 살뺄때 도움이 될지는 모르겠음,3.0,단맛 운동 도움,10.0,M0000004531307,칼로바이 퍼펙트 파워쉐이크 초코바나나맛 275 ml
2717,향은 좋지만 건조해요ㅠㅠ 제 몸이 건조한 탓이겠쬬    그냥저냥 싼맛에 씁니다,향은 좋지만 건조해요ㅠㅠ 제 몸이 건조한 탓이겠쬬    그냥저냥 싼맛에 씁니다,1.0,건조,10.0,M0000003677588,C04
2718,세정력도 아주좋고 퍼퓸 샴푸여서 향이 오래가서 좋아요 잘씁니다,세정력도 아주좋고 퍼퓸 샴푸여서 향이 오래가서 좋아요 잘씁니다,3.0,퍼퓸 샴푸 정력,10.0,M0000014257270,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2719,괜차노아서 지금 몇통째 비우고잇네요 여러분 추청합니다요,괜차노아서 지금 몇통째 비우고잇네요 여러분 추청합니다요,2.0,차노아 통째,8.0,M0000003527437,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2720,일단 양이 엄청 많아서 오래오래 잘 쓸 수 있어 좋아요 ㅎ 향이랑 거품은 많이 나진 않는데 너무 독한 것보단 나아서 좋습니다 ,일단 양이 엄청 많아서 오래오래 잘 쓸 수 있어 좋아요 ㅎ 향이랑 거품은 많이 나진 않는데 너무 독한 것보단 나아서 좋습니다 ,2.0,거품 나진,10.0,M0000003574717,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2721,향이 좋아서 구매했는데 향이 더 오래가면 좋겠어요  통도 귀엽고 마음에 들어요,향이 좋아서 구매했는데 향이 더 오래가면 좋겠어요  통도 귀엽고 마음에 들어요,2.0,구매 마음,10.0,M0000020303465,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2722,향좋고 부드러워서 좋은데 거품이 워시 사용량에 비해서 잘 안나서 아쉬워요,향좋고 부드러워서 좋은데 거품이 워시 사용량에 비해서 잘 안나서 아쉬워요,3.0,거품 워시 사용량,6.0,M0000003385489,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2723,사용 후에 촉촉하게 남아있어서 건조하지 않고 좋기는 하지만 은은한 걸 좋아하는 저에게는 향이 다소 강한 느낌이 있긴 합니다  그래도 부담스럽지는 않은 향이라 잘 사용중이에요 ,사용 후에 촉촉하게 남아있어서 건조하지 않고 좋기는 하지만 은은한 걸 좋아하는 저에게는 향이 다소 강한 느낌이 있긴 합니다  그래도 부담스럽지는 않은 향이라 잘 사용중이에요 ,4.0,건조 느낌 부담 사용,10.0,M0000011517009,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2724,이건진짜 향이너무좋아여  베이비파우더 향인데 갠적으로 이게 젤 식상하지 않은 향인것같아요,이건진짜 향이너무좋아여  베이비파우더 향인데 갠적으로 이게 젤 식상하지 않은 향인것같아요,3.0,식상 베이비 파우더,10.0,M0000004435662,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2725,용량이 크고 가격도저렴하고 향이 좋고 완전 가성비 좋아요  ,용량이 크고 가격도저렴하고 향이 좋고 완전 가성비 좋아요  ,3.0,가격 용량 가성비,10.0,M0000018551710,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2726,향도 좋고 펌핑질 딱 한번 하면 거품 잘 나와서 잘 쓰고 있어요 ㅎ,향도 좋고 펌핑질 딱 한번 하면 거품 잘 나와서 잘 쓰고 있어요 ㅎ,2.0,거품 펌핑,10.0,M0000013865698,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2727,향이 너무너무 좋아요 ㅠㅠㅠ 다른 향도 사용해보고 싶어요 가족들도 다 향 좋다고 하실만큼 엄청 좋아하신담니다 ,향이 너무너무 좋아요 ㅠㅠㅠ 다른 향도 사용해보고 싶어요 가족들도 다 향 좋다고 하실만큼 엄청 좋아하신담니다 ,2.0,가족 사용,10.0,M0000015039281,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2728,화이트머스크 향 중에서는 밀크바오밥이 가장 좋은 것 같아요   향도 좋고 지속력도 오래가서 더욱 만족합니다  가격도 저렴해서 재구매할 생각 있어요  ,화이트머스크 향 중에서는 밀크바오밥이 가장 좋은 것 같아요   향도 좋고 지속력도 오래가서 더욱 만족합니다  가격도 저렴해서 재구매할 생각 있어요  ,9.0,구매 만족 밀크 바오 가격 화이트 머스크 생각 지속,10.0,M0000017387490,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2729,냄새도 좋고 거품도 잘나고 너무 맘에 들어요 다쓰면 재구매 해야겠어요,냄새도 좋고 거품도 잘나고 너무 맘에 들어요 다쓰면 재구매 해야겠어요,3.0,거품 냄새 구매,10.0,M0000019726660,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2730,밀크바오밥 제품이 향이 엄청 진하고 좋다고 해서 구매햇는데 베이비파우더 향보다 머스크향이 더 좋아요  향도 진해서 샤워하고 나도 잔향이 은은하게 계속 난답니다  ,밀크바오밥 제품이 향이 엄청 진하고 좋다고 해서 구매햇는데 베이비파우더 향보다 머스크향이 더 좋아요  향도 진해서 샤워하고 나도 잔향이 은은하게 계속 난답니다  ,9.0,샤워 제품 구매 밀크 바오 베이비 파우더 머스크 잔향,10.0,M0000014203061,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2731,뚜껑 깨져있어서 환불했음 친구가 쓰길래 한번 써봤는데 향은 괜찮음,뚜껑 깨져있어서 환불했음 친구가 쓰길래 한번 써봤는데 향은 괜찮음,3.0,환불 뚜껑 친구,6.0,M0000004589925,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2732,이렇개 재구매 한 바디워시는 처음인 거 같아요 ㅠㅠ 향이 너무 좋아서 완전 추천   근데 아마 건조한거는 다 똑 같은거같아요 ,이렇개 재구매 한 바디워시는 처음인 거 같아요 ㅠㅠ 향이 너무 좋아서 완전 추천   근데 아마 건조한거는 다 똑 같은거같아요 ,5.0,건조 바디워시 처음 추천 구매,10.0,M0000017825860,C02
2733,향이 너무 너무 좋고 거품도 잘나고 일단 굉장히 사용후가 촉촉합니다  좋아용,향이 너무 너무 좋고 거품도 잘나고 일단 굉장히 사용후가 촉촉합니다  좋아용,2.0,거품 사용,10.0,M0000014671496,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2734,냄새가 너무좋아요  근데 씻어낼때가 좀 아쉬워요 바디워시가 몸에 아직 남아있는느낌이라 샤워를 계속 하게되는   ,냄새가 너무좋아요  근데 씻어낼때가 좀 아쉬워요 바디워시가 몸에 아직 남아있는느낌이라 샤워를 계속 하게되는   ,4.0,샤워 냄새 느낌 바디워시,10.0,M0000001052945,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2735,무난무난하게 사용하기 좋은 것 같아요  향기도 좋고 자극도 없고 만족합니다 ,무난무난하게 사용하기 좋은 것 같아요  향기도 좋고 자극도 없고 만족합니다 ,4.0,향기 자극 만족 사용,10.0,M0000010597903,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2736,I love the scent  It s mild good for everyday use,           ,0.0,,10.0,M0000012224292,C06
2737,향기가 좋다해서 구매했는데 거품이 많이 나는 건 아니고 보통입니다,향기가 좋다해서 구매했는데 거품이 많이 나는 건 아니고 보통입니다,4.0,향기 보통 구매 거품,6.0,M0000011075903,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2738,잔향이 오래 지속되서 하루종일 포근한 머스크향이 주변을 맴도는 느낌이에요 ,잔향이 오래 지속되서 하루종일 포근한 머스크향이 주변을 맴도는 느낌이에요 ,7.0,느낌 지속 머스크 주변 하루 종일 잔향,10.0,M0000001463067,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2739,체취가 고민되는 친구에게 사줬는데 향이 강해서 그런지 아주 잘썼더라구요,체취가 고민되는 친구에게 사줬는데 향이 강해서 그런지 아주 잘썼더라구요,3.0,친구 고민 체취,10.0,M0000010132059,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2740,샴푸는 써보니 향은 좋지만 머리카락이 뻣뻣하던데 바디워 시는 나름 촉촉합니다 향은 물론 좋구요  가격이 조금 저  렴하면 좋겠어요ㅎ,샴푸는 써보니 향은 좋지만 머리카락이 뻣뻣하던데 바디워 시는 나름 촉촉합니다 향은 물론 좋구요  가격이 조금 저  렴하면 좋겠어요ㅎ,4.0,샴푸 머리카락 바디워 가격,8.0,M0000020115807,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2741,패키지는 엄청 심한 향처럼 생겼는데 써보니 은은한 향이에요,패키지는 엄청 심한 향처럼 생겼는데 써보니 은은한 향이에요,1.0,패키지,10.0,M0000017103722,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2742,향이 정말 좋아요 사용후에 수건으로 닦으면 보습감이 느껴져서 좋았습니다,향이 정말 좋아요 사용후에 수건으로 닦으면 보습감이 느껴져서 좋았습니다,3.0,보습 수건 사용,10.0,M0000021296521,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2743,향이 좋아요  다른 바디워시보다 샤워후 건조함이 덜해요 ,향이 좋아요  다른 바디워시보다 샤워후 건조함이 덜해요 ,3.0,건조 바디워시 샤워,10.0,M0000010462032,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2744,밀크바오밥 제품들은 다 향기롭고 좋네요  다음에 재구매 할렵니다 ㅎㅎ,밀크바오밥 제품들은 다 향기롭고 좋네요  다음에 재구매 할렵니다 ㅎㅎ,6.0,다음 향기 제품 밀크 바오 구매,10.0,M0000004708206,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2745,향도 좋고 보급도 좋아요  지금은 다른거 쓰고 있는데 그거 다 쓰면 이걸로 다시 사려구요 ,향도 좋고 보급도 좋아요  지금은 다른거 쓰고 있는데 그거 다 쓰면 이걸로 다시 사려구요 ,3.0,그거 지금 보급,10.0,M0000010948547,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2746,향은 제가 정말 좋아하는 향이여서 좋은데 보습력이나 지속력은 그렇게 좋은 편은 아니에요 그리고 펌프 부분이 너무 불편해요,향은 제가 정말 좋아하는 향이여서 좋은데 보습력이나 지속력은 그렇게 좋은 편은 아니에요 그리고 펌프 부분이 너무 불편해요,5.0,펌프 불편 보습 지속 부분,8.0,M0000013340034,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2747,거품도 잘나고 너무 만족해서 다른 베이비파우더 향으로 삿어요 계속 이제품 이용할거에요 ,거품도 잘나고 너무 만족해서 다른 베이비파우더 향으로 삿어요 계속 이제품 이용할거에요 ,6.0,만족 베이비 파우더 이용 거품 제품,10.0,M0000002475051,"C06"""
2748,할인하는거 좋아요 무난하게 매번 쓰는향이라 잘 쓰고 있습니다,할인하는거 좋아요 무난하게 매번 쓰는향이라 잘 쓰고 있습니다,1.0,할인,10.0,M0000012426719,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2749,향도 좋고 거품도 잘나요 양이 많아서 오래 사용중이에요 보습력도 나쁘지 않아요 ,향도 좋고 거품도 잘나요 양이 많아서 오래 사용중이에요 보습력도 나쁘지 않아요 ,3.0,거품 사용 보습,10.0,M0000010594666,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2750,사향이 강력할 줄 알았는데 생각보다 은은한 편이네요  다음에는 베이비 파우더 향 써봐야겠어요 ,사향이 강력할 줄 알았는데 생각보다 은은한 편이네요  다음에는 베이비 파우더 향 써봐야겠어요 ,6.0,다음 생각 베이비 파우더 사향 강력,10.0,M0000001010354,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2751,냄새도 좋고 싸게 잘샀어요 써보고 좋으면 재구매의향있어용 ㅎㅎ,냄새도 좋고 싸게 잘샀어요 써보고 좋으면 재구매의향있어용 ㅎㅎ,2.0,냄새 구매,10.0,M0000012148111,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2752,거품 잘 나고 향은 파우더향이에요  그냥 무난히 쓰기에는 나쁘지 않습니다,거품 잘 나고 향은 파우더향이에요  그냥 무난히 쓰기에는 나쁘지 않습니다,2.0,파우더 거품,8.0,M0000012785980,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2753,냄새가 일단 너무 즇아요 냄새충인데 재구매 의사있어요 굿이넹요,냄새가 일단 너무 즇아요 냄새충인데 재구매 의사있어요 굿이넹요,5.0,굿이넹 의사 즇아요 냄새 구매,10.0,M0000019766645,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2754,향이 무척 좋아요  향 때문만이라도 재구매 의사가 있는 제품입니다,향이 무척 좋아요  향 때문만이라도 재구매 의사가 있는 제품입니다,3.0,제품 의사 구매,10.0,M0000012013628,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2755,굉장히 잘 쓰고 있습니다 ㅎㅎ 양도 많고 향도 좋아서 샤워할 때마다 기분 좋네요 굿굿 베이비파우더 향을 잘 구현했어요 거품은 잘 나진 않지만 세정이 무난하게 잘 되는 것 같아요 씻고 난 다음에 트러블도 안 납니다,굉장히 잘 쓰고 있습니다 ㅎㅎ 양도 많고 향도 좋아서 샤워할 때마다 기분 좋네요 굿굿 베이비파우더 향을 잘 구현했어요 거품은 잘 나진 않지만 세정이 무난하게 잘 되는 것 같아요 씻고 난 다음에 트러블도 안 납니다,11.0,샤워 기분 구현 다음 거품 나진 베이비 파우더 트러블 양도 세정,10.0,M0000003574717,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2756,이거 향이 진짜 너무 좋아요 ㅠㅠ 씻고 나오면 기분 좋아지는 향 ,이거 향이 진짜 너무 좋아요 ㅠㅠ 씻고 나오면 기분 좋아지는 향 ,1.0,기분,10.0,M0000015910586,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2757,베이비파우더 향은 좀 저한테는 별로여서 화이트머스크로 구매햇어용 몸에 잔여향도 오래가요,베이비파우더 향은 좀 저한테는 별로여서 화이트머스크로 구매햇어용 몸에 잔여향도 오래가요,6.0,베이비 파우더 화이트 머스크 잔여 구매,10.0,M0000014203061,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2758,이 향으로 전부다 맞춘 사람인데요 향은 나쁘지 않아요 오히려 좋은면 좋은 뽀둥한 베이비 파우더 향같은 달달구리한 느낌도 나고 세정력도 나쁘지 않은거 같아요 아주아주 잘 쓰고 있숨당 거품도 잘 나요,이 향으로 전부다 맞춘 사람인데요 향은 나쁘지 않아요 오히려 좋은면 좋은 뽀둥한 베이비 파우더 향같은 달달구리한 느낌도 나고 세정력도 나쁘지 않은거 같아요 아주아주 잘 쓰고 있숨당 거품도 잘 나요,7.0,거품 느낌 베이비 구리 파우더 사람 정력,10.0,M0000019622489,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2759,바디워시 향이 굉장히 뛰어납니다  거품도 잘나고 세정력도 뛰어나요,바디워시 향이 굉장히 뛰어납니다  거품도 잘나고 세정력도 뛰어나요,3.0,거품 바디워시 정력,10.0,M0000014671496,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2760,수영장에서 사용하는데 몸에 락스냄새 안남아서 좋아요 샴푸 트리트먼트 로션까지 세트로 쓰는거 추천해요,수영장에서 사용하는데 몸에 락스냄새 안남아서 좋아요 샴푸 트리트먼트 로션까지 세트로 쓰는거 추천해요,9.0,수영장 추천 세트 샴푸 락스 냄새 사용 트리트먼트 로션,10.0,M0000016379386,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2761,향도 좋고 사용하기 좋아요 양도 많고 가격도 저렴해서 괜찮아요,향도 좋고 사용하기 좋아요 양도 많고 가격도 저렴해서 괜찮아요,3.0,양도 가격 사용,8.0,M0000014228744,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2762,진짜 다들 추천하는덴 이유가있어요 향이 미쳤어요ㅠㅠㅠ 너무 좋아서   지속력도 저는 아침부터 점심까지는 향기가 있는 느낌이에요 또 구매 할 의향 100  ,진짜 다들 추천하는덴 이유가있어요 향이 미쳤어요ㅠㅠㅠ 너무 좋아서   지속력도 저는 아침부터 점심까지는 향기가 있는 느낌이에요 또 구매 할 의향 100  ,9.0,점심 아침 느낌 이유 향기 의향 구매 추천 지속,10.0,M0000018466412,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2763,우유곽처럼 생긴 병이 아주 귀여워요ㅎㅎ 머스크 향 좋습니다  사용할때마다 기분이 좋네요  거품 잘 나고 세정력도 좋습니다 ,우유곽처럼 생긴 병이 아주 귀여워요ㅎㅎ 머스크 향 좋습니다  사용할때마다 기분이 좋네요  거품 잘 나고 세정력도 좋습니다 ,6.0,기분 사용 우유 머스크 거품 정력,10.0,M0000003228655,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2764,워낙 향 좋기로 유명한데 마침 세일하길래 구매해봤어요 역시나 향이 너무 좋더라구요  다쓰면 재구매각이용,워낙 향 좋기로 유명한데 마침 세일하길래 구매해봤어요 역시나 향이 너무 좋더라구요  다쓰면 재구매각이용,6.0,구매 세일 유명 재구 매각 이용,10.0,M0000015584560,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2765,아직 사용해보진 않았지만 세일해서 저렴하게 구매했어요 가성비 좋아여,아직 사용해보진 않았지만 세일해서 저렴하게 구매했어요 가성비 좋아여,4.0,구매 세일 사용 가성비,10.0,M0000000722446,"C13"""
2766,좋은제품입니다    다시 구매하겠습니다        ,좋은제품입니다    다시 구매하겠습니다        ,2.0,구매 제품,10.0,M0000018551710,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2767,향이 좋아요  행사가로 구매해서 가성비 좋고 퍼퓸 바디워시 답게 지속력도 나쁘지 않은 것 같아요  이제 봄이라 살 짝 건조한데 촉촉하게 마무리 되서 좋습니다,향이 좋아요  행사가로 구매해서 가성비 좋고 퍼퓸 바디워시 답게 지속력도 나쁘지 않은 것 같아요  이제 봄이라 살 짝 건조한데 촉촉하게 마무리 되서 좋습니다,9.0,건조 바디워시 구매 행사 퍼퓸 이제 가성비 마무리 지속,10.0,M0000002893620,C05
2768,머스크향도 좋고 가성비도 좋아요 일단 저는 거품이 잘나서 좋습니다  샤워하고 나서 촉촉한 느낌도 나고 머스크향이 충분해서 바디로션 무향 바르셔도 머스크향이 잔잔하게 남아 좋습니다,머스크향도 좋고 가성비도 좋아요 일단 저는 거품이 잘나서 좋습니다  샤워하고 나서 촉촉한 느낌도 나고 머스크향이 충분해서 바디로션 무향 바르셔도 머스크향이 잔잔하게 남아 좋습니다,8.0,샤워 머스크 향도 가성비 느낌 거품 바디 로션,8.0,M0000001391053,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2769,선물하려고 샀어요 향 호불호 갈릴 것 같아서 걱정했는데 다행히 좋아하셔요,선물하려고 샀어요 향 호불호 갈릴 것 같아서 걱정했는데 다행히 좋아하셔요,3.0,선물 걱정 호불호,8.0,M0000017636267,C05
2770,후기도좋아서구매 잘했어요 향기도좋고 잘구매했어요 구매잘함,후기도좋아서구매 잘했어요 향기도좋고 잘구매했어요 구매잘함,3.0,후기 구매 향기,10.0,M0000013045798,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2771,향이 진짜 너무 좋아요 ㅠㅠ 친구가 놀러왔는데 저희집에서 샤워하고 이거 너무 향이 좋다고 자기도 사겠대요 ㅋㅋㅋㅋ 그래서 저도 2번째 재구매합니다,향이 진짜 너무 좋아요 ㅠㅠ 친구가 놀러왔는데 저희집에서 샤워하고 이거 너무 향이 좋다고 자기도 사겠대요 ㅋㅋㅋㅋ 그래서 저도 2번째 재구매합니다,3.0,구매 샤워 친구,10.0,M0000017825860,C02
2772,향이 오래 지속 되진 않는데 처음에 쓸 때 좋은 향이 나서 좋아요,향이 오래 지속 되진 않는데 처음에 쓸 때 좋은 향이 나서 좋아요,2.0,처음 지속,10.0,M0000020013576,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2773,진짜 매일 씻고 나오면 이 향이 몸에 은은하게 나서 향수 처럼 쓰고싶어요 ㅠㅠ,진짜 매일 씻고 나오면 이 향이 몸에 은은하게 나서 향수 처럼 쓰고싶어요 ㅠㅠ,1.0,향수,10.0,M0000016795715,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2774,바디 워시가 필요했는데 향이 좋다고 해서 구매해봤아요 나중에 로션도 사보려구요  ,바디 워시가 필요했는데 향이 좋다고 해서 구매해봤아요 나중에 로션도 사보려구요  ,6.0,구매해봤아 필요 워시 로션 나중 바디,10.0,M0000012853982,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2775,너무 좋아해요  가족이나 친구들에게도 추천할 거예요  정말 좋아해요 ,너무 좋아해요  가족이나 친구들에게도 추천할 거예요  정말 좋아해요 ,3.0,가족 친구 추천,10.0,M0000017948017,C04
2776,이거 향이 아주 기가먁혀요 머스크향을 너무 좋아해서 향 좋은 제품 찾다가 우연히 이걸 보게돼서 바로 샀는데 가족들 다 만족해하면서 사용하고 있어요 향이 진짜 증맬루 너무 좋아요 ㅠㅠㅠ,이거 향이 아주 기가먁혀요 머스크향을 너무 좋아해서 향 좋은 제품 찾다가 우연히 이걸 보게돼서 바로 샀는데 가족들 다 만족해하면서 사용하고 있어요 향이 진짜 증맬루 너무 좋아요 ㅠㅠㅠ,7.0,만족 기가먁혀 머스크 증맬루 가족 사용 제품,10.0,M0000015039281,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2777,엄청나게 무난한 바디워시에요 향기도 무난하고 거품도 무난해요,엄청나게 무난한 바디워시에요 향기도 무난하고 거품도 무난해요,3.0,향기 거품 바디워시,10.0,M0000003093307,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2778,이거 정말 장난 아니게 좋네욬ㅋㅋㅋ 향이 너무 좋은 거 같아요     정말 좋은 거 같습니다 몸이 너무 건조해서 아무거나 사려고 이걸 샀는데 이제 뭘 사러 갈 때 이거만 사는 거 같아요 베리베리 좋습니다 정말 사는 거 추천합니다  ㅋㅋ 아니 진짜 좋은 거 같아요 건조한  저에게  필수네요 사용하는데 불편함은 없습니다 굉장히 효과적입니다 처음 사고 너무 좋아서 이거만 쓰고았네요  ㅎㅎ 정말 좋습니다 꼭 구매하세용 ㅎㅎ 양도 정말 많아서 한번 살 때 오래 써요 ㅋㅋㅋ 하하 열심히 쓰고 있습니다  감사합니다 앞으로도 계속 사용할 예정입니다   도움도 되고 편해요 크기도 적당하고 길이도 꽤 있으니 오래 유지돼요  ㅋㅋㅋ 저에겐 이건 필수인 거 같아요 ㅎㅎ정말 좋네요  굳굳  정말 좋으니 수시로 사용하면 좋을 거 같아요 다음엔 다른 향도 사용해볼 예정입니당ㅇ,이거 정말 장난 아니게 좋네욬ㅋㅋㅋ 향이 너무 좋은 거 같아요     정말 좋은 거 같습니다 몸이 너무 건조해서 아무거나 사려고 이걸 샀는데 이제 뭘 사러 갈 때 이거만 사는 거 같아요 베리베리 좋습니다 정말 사는 거 추천합니다  ㅋㅋ 아니 진짜 좋은 거 같아요 건조한  저에게  필수네요 사용하는데 불편함은 없습니다 굉장히 효과적입니다 처음 사고 너무 좋아서 이거만 쓰고았네요  ㅎㅎ 정말 좋습니다 꼭 구매하세용 ㅎㅎ 양도 정말 많아서 한번 살 때 오래 써요 ㅋㅋㅋ 하하 열심히 쓰고 있습니다  감사합니다 앞으로도 계속 사용할 예정입니다   도움도 되고 편해요 크기도 적당하고 길이도 꽤 있으니 오래 유지돼요  ㅋㅋㅋ 저에겐 이건 필수인 거 같아요 ㅎㅎ정말 좋네요  굳굳  정말 좋으니 수시로 사용하면 좋을 거 같아요 다음엔 다른 향도 사용해볼 예정입니당ㅇ,15.0,추천 감사 필수 사용 효과 다음 이제 유지 구매 건조 예정 처음 하하 도움 쓰고았,10.0,M0000013130431,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2779,우선 향이 너무 좋아요  세일할때 사면 가격도 엄청 저렴해요,우선 향이 너무 좋아요  세일할때 사면 가격도 엄청 저렴해요,2.0,세일 가격,10.0,M0000010288754,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2780,거품은 잘나는데 머스크향이라고 하기에는 좀    테스터 향 맡아보고 사길,거품은 잘나는데 머스크향이라고 하기에는 좀    테스터 향 맡아보고 사길,3.0,머스크 거품 테스,10.0,M0000004661667,C04
2781,거품도 펌프 한번이면 충분하고 향도 은은하고 자연스러워서 좋아요,거품도 펌프 한번이면 충분하고 향도 은은하고 자연스러워서 좋아요,3.0,펌프 자연 거품,10.0,M0000013865698,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2782,향이 너무 좋아서 제일 만족하는 부분이에용 세일할때 사면 후회없이 잘 쓸것같습니당,향이 너무 좋아서 제일 만족하는 부분이에용 세일할때 사면 후회없이 잘 쓸것같습니당,4.0,만족 부분 후회 세일,10.0,M0000019254306,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
2783,거품도 완전 잘 나고 냄새도 너무너무 좋아요  가격도 합리적이라서 샀는데 정말 좋은 것 같아요 ,거품도 완전 잘 나고 냄새도 너무너무 좋아요  가격도 합리적이라서 샀는데 정말 좋은 것 같아요 ,4.0,냄새 합리 거품 가격,10.0,M0000016982411,C07
2784,향이 자극적지도 인위적이지도 않아서 좋아요오   디자인도 넘넘 귀여워요   보습에도 좋은 것같아서 요즘 잘 쓰고 있어용,향이 자극적지도 인위적이지도 않아서 좋아요오   디자인도 넘넘 귀여워요   보습에도 좋은 것같아서 요즘 잘 쓰고 있어용,6.0,디자인 보습 요즘 인위 자극 지도,10.0,M0000013033812,C02
2785,향이 미쳤네요  사실 바디로션제품을 시킨줄 알고 있었는데 알고보니 바디워시로 시켰더라구요ㅠㅠ 기대없는 마음으로 사용중인데 향이 좋아서 너무너무 잘 쓰고 있습니당bbb,향이 미쳤네요  사실 바디로션제품을 시킨줄 알고 있었는데 알고보니 바디워시로 시켰더라구요ㅠㅠ 기대없는 마음으로 사용중인데 향이 좋아서 너무너무 잘 쓰고 있습니당,7.0,바디워시 사용 마음 바디 로션 제품 기대,10.0,M0000010586569,C06
2786,향기가 오래가고 샤워 후에도 피부가 촉촉해서 온 가족이 만족하며 사용하고 있어요,향기가 오래가고 샤워 후에도 피부가 촉촉해서 온 가족이 만족하며 사용하고 있어요,6.0,향기 샤워 피부 가족 만족 사용,10.0,M0000003634107,밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml
